roi_formatted,subj,phase,trained,correct
ENT,1206163,pre,True,0.2625
ENT,1207162,post,False,0.25
ENT,1207162,post,True,0.2875
ENT,1207162,pre,False,0.2
ENT,1207162,pre,True,0.2625
FUS,110171,post,False,0.2875
FUS,110171,post,True,0.3
FUS,110171,pre,False,0.175
FUS,110171,pre,True,0.175
FUS,110172,post,False,0.2375
FUS,110172,post,True,0.15
FUS,110172,pre,False,0.375
FUS,110172,pre,True,0.35
FUS,111171,post,False,0.225
FUS,111171,post,True,0.2
FUS,111171,pre,False,0.25
FUS,111171,pre,True,0.2125
FUS,112171,post,False,0.3125
FUS,112171,post,True,0.275
FUS,112171,pre,False,0.25
FUS,112171,pre,True,0.2
FUS,112172,post,False,0.2
FUS,112172,post,True,0.3375
FUS,112172,pre,False,0.275
FUS,112172,pre,True,0.3125
FUS,112173,post,False,0.2625
FUS,112173,post,True,0.3125
FUS,112173,pre,False,0.325
FUS,112173,pre,True,0.3375
FUS,113171,post,False,0.3125
FUS,113171,post,True,0.3625
FUS,113171,pre,False,0.2375
FUS,113171,pre,True,0.2375
FUS,115174,post,False,0.2875
FUS,115174,post,True,0.275
FUS,115174,pre,False,0.2875
FUS,115174,pre,True,0.1375
FUS,117171,post,False,0.225
FUS,117171,post,True,0.375
FUS,117171,pre,False,0.275
FUS,117171,pre,True,0.2375
FUS,118171,post,False,0.225
FUS,118171,post,True,0.275
FUS,118171,pre,False,0.2125
FUS,118171,pre,True,0.1625
FUS,118172,post,False,0.1875
FUS,118172,post,True,0.2625
FUS,118172,pre,False,0.2625
FUS,118172,pre,True,0.225
FUS,119171,post,False,0.35
FUS,119171,post,True,0.2625
FUS,119171,pre,False,0.275
FUS,119171,pre,True,0.3
FUS,119172,post,False,0.2125
FUS,119172,post,True,0.2625
FUS,119172,pre,False,0.2125
FUS,119172,pre,True,0.25
FUS,119173,post,False,0.1625
FUS,119173,post,True,0.2375
FUS,119173,pre,False,0.2875
FUS,119173,pre,True,0.3125
FUS,119174,post,False,0.2625
FUS,119174,post,True,0.275
FUS,119174,pre,False,0.1875
FUS,119174,pre,True,0.275
FUS,120171,post,False,0.275
FUS,120171,post,True,0.1625
FUS,120171,pre,False,0.25
FUS,120171,pre,True,0.2125
FUS,120172,post,False,0.2625
FUS,120172,post,True,0.2875
FUS,120172,pre,False,0.2375
FUS,120172,pre,True,0.225
FUS,120173,post,False,0.2875
FUS,120173,post,True,0.2625
FUS,120173,pre,False,0.1875
FUS,120173,pre,True,0.275
FUS,123171,post,False,0.2125
FUS,123171,post,True,0.2125
FUS,123171,pre,False,0.3375
FUS,123171,pre,True,0.25
FUS,123173,post,False,0.3375
FUS,123173,post,True,0.3625
FUS,123173,pre,False,0.2625
FUS,123173,pre,True,0.2625
FUS,124171,post,False,0.4625
FUS,124171,post,True,0.2625
FUS,124171,pre,False,0.2125
FUS,124171,pre,True,0.275
FUS,125171,post,False,0.1625
FUS,125171,post,True,0.2
FUS,125171,pre,False,0.2875
FUS,125171,pre,True,0.225
FUS,125172,post,False,0.225
FUS,125172,post,True,0.2625
FUS,125172,pre,False,0.2625
FUS,125172,pre,True,0.2125
FUS,1121161,post,False,0.275
FUS,1121161,post,True,0.2625
FUS,1121161,pre,False,0.3125
FUS,1121161,pre,True,0.2
FUS,1130161,post,False,0.25
FUS,1130161,post,True,0.2625
FUS,1130161,pre,False,0.325
FUS,1130161,pre,True,0.3375
FUS,1202161,post,False,0.2
FUS,1202161,post,True,0.2625
FUS,1202161,pre,False,0.2875
FUS,1202161,pre,True,0.225
FUS,1203161,post,False,0.25
FUS,1203161,post,True,0.175
FUS,1203161,pre,False,0.3125
FUS,1203161,pre,True,0.1875
FUS,1206161,post,False,0.275
FUS,1206161,post,True,0.2875
FUS,1206161,pre,False,0.275
FUS,1206161,pre,True,0.2875
FUS,1206162,post,False,0.225
FUS,1206162,post,True,0.2875
FUS,1206162,pre,False,0.2875
FUS,1206162,pre,True,0.3
