roi_formatted,subj,phase,trained,target_prob_raw
ENT,1130161,post,True,0.29303117686207636
ENT,1130161,pre,False,0.2582443393018736
ENT,1130161,pre,True,0.2584560669948996
ENT,1202161,post,False,0.21666718250902658
ENT,1202161,post,True,0.2244517447226096
ENT,1202161,pre,False,0.1961501439873432
ENT,1202161,pre,True,0.2921462322765059
ENT,1203161,post,False,0.2348005667611564
ENT,1203161,post,True,0.2333504462132371
ENT,1203161,pre,False,0.2480969997552827
ENT,1203161,pre,True,0.2690119286542271
ENT,1206161,post,False,0.21105885551810138
ENT,1206161,post,True,0.3058325109113965
ENT,1206161,pre,False,0.22092654392159544
ENT,1206161,pre,True,0.2678664338436787
ENT,1206162,post,False,0.28725049124038193
ENT,1206162,post,True,0.2633340200750956
ENT,1206162,pre,False,0.262787406579822
ENT,1206162,pre,True,0.28353378353590364
ENT,1206163,post,False,0.2040810273969104
ENT,1206163,post,True,0.26015383019606386
ENT,1206163,pre,False,0.25196742072365563
ENT,1206163,pre,True,0.283038430805947
ENT,1207162,post,False,0.22739032436379922
ENT,1207162,post,True,0.2240339413388433
ENT,1207162,pre,False,0.2854606822362872
ENT,1207162,pre,True,0.2083288723503423
FUS,0110171,post,False,0.2680747270265701
FUS,0110171,post,True,0.23548210032157094
FUS,0110171,pre,False,0.28187412685612956
FUS,0110171,pre,True,0.320205935030942
FUS,0110172,post,False,0.25213721420980156
FUS,0110172,post,True,0.26187859297760485
FUS,0110172,pre,False,0.26942776854176326
FUS,0110172,pre,True,0.28736114255223233
FUS,0111171,post,False,0.21374293332788902
FUS,0111171,post,True,0.2788296423114228
FUS,0111171,pre,False,0.25453498197413194
FUS,0111171,pre,True,0.260618534894589
FUS,0112171,post,False,0.3096281546837083
FUS,0112171,post,True,0.2475848448308014
FUS,0112171,pre,False,0.2629148252325867
FUS,0112171,pre,True,0.30762786915010815
FUS,0112172,post,False,0.23890375626997287
FUS,0112172,post,True,0.2215961844365218
FUS,0112172,pre,False,0.25001490541170385
FUS,0112172,pre,True,0.2405354086659755
FUS,0112173,post,False,0.24392174672302694
FUS,0112173,post,True,0.27482132636356654
FUS,0112173,pre,False,0.22120341826519443
FUS,0112173,pre,True,0.27530353918310535
FUS,0113171,post,False,0.23446608076652425
FUS,0113171,post,True,0.2960503359431485
FUS,0113171,pre,False,0.2572848447593194
FUS,0113171,pre,True,0.26017116001588636
FUS,0115174,post,False,0.2203612599703037
FUS,0115174,post,True,0.2333376801242027
FUS,0115174,pre,False,0.272760401968401
FUS,0115174,pre,True,0.29714258615396194
FUS,0117171,post,False,0.23799589394071113
