roi_formatted,subj,phase,trained,correct
LOC,0110172,post,False,0.2
LOC,0110172,post,True,0.35
LOC,0110172,pre,False,0.2375
LOC,0110172,pre,True,0.3
LOC,0111171,post,False,0.3875
LOC,0111171,post,True,0.4
LOC,0111171,pre,False,0.35
LOC,0111171,pre,True,0.3125
LOC,0112171,post,False,0.375
LOC,0112171,post,True,0.2875
LOC,0112171,pre,False,0.2875
LOC,0112171,pre,True,0.275
LOC,0112172,post,False,0.3375
LOC,0112172,post,True,0.3375
LOC,0112172,pre,False,0.2625
LOC,0112172,pre,True,0.275
LOC,0112173,post,False,0.3125
LOC,0112173,post,True,0.3875
LOC,0112173,pre,False,0.325
LOC,0112173,pre,True,0.2125
LOC,0113171,post,False,0.35
LOC,0113171,post,True,0.3875
LOC,0113171,pre,False,0.2875
LOC,0113171,pre,True,0.3
LOC,0115174,post,False,0.3875
LOC,0115174,post,True,0.3
LOC,0115174,pre,False,0.2875
LOC,0115174,pre,True,0.4
LOC,0117171,post,False,0.3125
LOC,0117171,post,True,0.3375
LOC,0117171,pre,False,0.375
LOC,0117171,pre,True,0.3125
LOC,0118171,post,False,0.2625
LOC,0118171,post,True,0.35
LOC,0118171,pre,False,0.2625
LOC,0118171,pre,True,0.2125
LOC,0118172,post,False,0.2375
LOC,0118172,post,True,0.3
LOC,0118172,pre,False,0.2375
LOC,0118172,pre,True,0.3625
LOC,0119171,post,False,0.225
LOC,0119171,post,True,0.375
LOC,0119171,pre,False,0.275
LOC,0119171,pre,True,0.325
LOC,0119172,post,False,0.275
LOC,0119172,post,True,0.225
LOC,0119172,pre,False,0.275
LOC,0119172,pre,True,0.35
LOC,0119173,post,False,0.325
LOC,0119173,post,True,0.3375
LOC,0119173,pre,False,0.375
LOC,0119173,pre,True,0.2375
LOC,0119174,post,False,0.4125
LOC,0119174,post,True,0.25
LOC,0119174,pre,False,0.3
LOC,0119174,pre,True,0.375
LOC,0120171,post,False,0.3625
LOC,0120171,post,True,0.3625
LOC,0120171,pre,False,0.3
LOC,0120171,pre,True,0.3
LOC,0120172,post,False,0.25
LOC,0120172,post,True,0.325
LOC,0120172,pre,False,0.25
LOC,0120172,pre,True,0.2875
LOC,0120173,post,False,0.3
LOC,0120173,post,True,0.2875
LOC,0120173,pre,False,0.3125
LOC,0120173,pre,True,0.2
LOC,0123171,post,False,0.25
LOC,0123171,post,True,0.4
LOC,0123171,pre,False,0.325
LOC,0123171,pre,True,0.3125
LOC,0123173,post,False,0.2875
LOC,0123173,post,True,0.3
LOC,0123173,pre,False,0.175
LOC,0123173,pre,True,0.2375
LOC,0124171,post,False,0.4125
LOC,0124171,post,True,0.375
LOC,0124171,pre,False,0.3
LOC,0124171,pre,True,0.4375
LOC,0125171,post,False,0.3375
LOC,0125171,post,True,0.25
LOC,0125171,pre,False,0.2875
LOC,0125171,pre,True,0.325
LOC,0125172,post,False,0.3
LOC,0125172,post,True,0.4
LOC,0125172,pre,False,0.3625
LOC,0125172,pre,True,0.2375
LOC,1121161,post,False,0.2375
LOC,1121161,post,True,0.4
LOC,1121161,pre,False,0.2625
LOC,1121161,pre,True,0.3375
LOC,1130161,post,False,0.3
LOC,1130161,post,True,0.275
LOC,1130161,pre,False,0.3
LOC,1130161,pre,True,0.2625
LOC,1202161,post,False,0.3125
LOC,1202161,post,True,0.35
LOC,1202161,pre,False,0.25
LOC,1202161,pre,True,0.3375
LOC,1203161,post,False,0.325
LOC,1203161,post,True,0.275
LOC,1203161,pre,False,0.2625
LOC,1203161,pre,True,0.3875
LOC,1206161,post,False,0.1875
LOC,1206161,post,True,0.25
LOC,1206161,pre,False,0.2125
LOC,1206161,pre,True,0.3
LOC,1206162,post,False,0.225
LOC,1206162,post,True,0.35
LOC,1206162,pre,False,0.225
LOC,1206162,pre,True,0.4
LOC,1206163,post,False,0.3375
LOC,1206163,post,True,0.2625
LOC,1206163,pre,False,0.3
LOC,1206163,pre,True,0.2625
LOC,1207162,post,False,0.35
LOC,1207162,post,True,0.3375
LOC,1207162,pre,False,0.4375
LOC,1207162,pre,True,0.35
PHC,0110171,post,False,0.2
PHC,0110171,post,True,0.3125
PHC,0110171,pre,False,0.3125
PHC,0110171,pre,True,0.3
PHC,0110172,post,False,0.125
PHC,0110172,post,True,0.375
PHC,0110172,pre,False,0.3375
PHC,0110172,pre,True,0.2875
PHC,0111171,post,False,0.275
PHC,0111171,post,True,0.275
PHC,0111171,pre,False,0.2875
PHC,0111171,pre,True,0.3875
PHC,0112171,post,False,0.35
PHC,0112171,post,True,0.3125
PHC,0112171,pre,False,0.275
PHC,0112171,pre,True,0.2
PHC,0112172,post,False,0.125
PHC,0112172,post,True,0.275
PHC,0112172,pre,False,0.2125
PHC,0112172,pre,True,0.2625
PHC,0112173,post,False,0.2875
PHC,0112173,post,True,0.325
PHC,0112173,pre,False,0.3
PHC,0112173,pre,True,0.2625
PHC,0113171,post,False,0.325
PHC,0113171,post,True,0.325
PHC,0113171,pre,False,0.3
PHC,0113171,pre,True,0.3125
PHC,0115174,post,False,0.2875
PHC,0115174,post,True,0.3125
PHC,0115174,pre,False,0.35
PHC,0115174,pre,True,0.4
PHC,0117171,post,False,0.3375
PHC,0117171,post,True,0.15
PHC,0117171,pre,False,0.2125
PHC,0117171,pre,True,0.2625
PHC,0118171,post,False,0.2125
PHC,0118171,post,True,0.3375
PHC,0118171,pre,False,0.125
PHC,0118171,pre,True,0.3375
PHC,0118172,post,False,0.225
PHC,0118172,post,True,0.2625
PHC,0118172,pre,False,0.325
PHC,0118172,pre,True,0.275
PHC,0119171,post,False,0.1875
PHC,0119171,post,True,0.35
PHC,0119171,pre,False,0.3125
PHC,0119171,pre,True,0.3125
PHC,0119172,post,False,0.3125
PHC,0119172,post,True,0.275
PHC,0119172,pre,False,0.3
PHC,0119172,pre,True,0.25
PHC,0119173,post,False,0.35
PHC,0119173,post,True,0.3
PHC,0119173,pre,False,0.3625
PHC,0119173,pre,True,0.1625
PHC,0119174,post,False,0.1875
PHC,0119174,post,True,0.325
PHC,0119174,pre,False,0.1625
PHC,0119174,pre,True,0.35
PHC,0120171,post,False,0.325
PHC,0120171,post,True,0.275
PHC,0120171,pre,False,0.2875
PHC,0120171,pre,True,0.2625
PHC,0120172,post,False,0.2625
PHC,0120172,post,True,0.275
PHC,0120172,pre,False,0.275
PHC,0120172,pre,True,0.2625
PHC,0120173,post,False,0.2375
PHC,0120173,post,True,0.3375
PHC,0120173,pre,False,0.2
PHC,0120173,pre,True,0.275
PHC,0123171,post,False,0.25
PHC,0123171,post,True,0.375
PHC,0123171,pre,False,0.275
PHC,0123171,pre,True,0.3375
PHC,0123173,post,False,0.25
PHC,0123173,post,True,0.275
PHC,0123173,pre,False,0.2125
PHC,0123173,pre,True,0.25
PHC,0124171,post,False,0.4125
PHC,0124171,post,True,0.35
PHC,0124171,pre,False,0.3
PHC,0124171,pre,True,0.35
PHC,0125171,post,False,0.3
PHC,0125171,post,True,0.225
PHC,0125171,pre,False,0.175
PHC,0125171,pre,True,0.3125
PHC,0125172,post,False,0.175
PHC,0125172,post,True,0.2375
PHC,0125172,pre,False,0.3
PHC,0125172,pre,True,0.3375
PHC,1121161,post,False,0.2875
PHC,1121161,post,True,0.2
PHC,1121161,pre,False,0.225
PHC,1121161,pre,True,0.3125
PHC,1130161,post,False,0.325
PHC,1130161,post,True,0.275
PHC,1130161,pre,False,0.2875
PHC,1130161,pre,True,0.3875
PHC,1202161,post,False,0.375
PHC,1202161,post,True,0.2375
PHC,1202161,pre,False,0.1625
PHC,1202161,pre,True,0.3
PHC,1203161,post,False,0.275
PHC,1203161,post,True,0.25
PHC,1203161,pre,False,0.2375
PHC,1203161,pre,True,0.3
PHC,1206161,post,False,0.2
PHC,1206161,post,True,0.275
PHC,1206161,pre,False,0.2375
PHC,1206161,pre,True,0.2375
PHC,1206162,post,False,0.25
PHC,1206162,post,True,0.2875
PHC,1206162,pre,False,0.2625
PHC,1206162,pre,True,0.2125
PHC,1206163,post,False,0.3125
PHC,1206163,post,True,0.325
PHC,1206163,pre,False,0.2875
PHC,1206163,pre,True,0.3625
PHC,1207162,post,False,0.2875
PHC,1207162,post,True,0.2625
PHC,1207162,pre,False,0.275
PHC,1207162,pre,True,0.3375
PRC,0110171,post,False,0.25
PRC,0110171,post,True,0.375
PRC,0110171,pre,False,0.3
PRC,0110171,pre,True,0.275
PRC,0110172,post,False,0.25
PRC,0110172,post,True,0.3125
PRC,0110172,pre,False,0.2875
PRC,0110172,pre,True,0.275
PRC,0111171,post,False,0.2375
PRC,0111171,post,True,0.3125
PRC,0111171,pre,False,0.2375
PRC,0111171,pre,True,0.3125
PRC,0112171,post,False,0.3125
PRC,0112171,post,True,0.2875
PRC,0112171,pre,False,0.275
PRC,0112171,pre,True,0.25
PRC,0112172,post,False,0.275
PRC,0112172,post,True,0.25
PRC,0112172,pre,False,0.2125
PRC,0112172,pre,True,0.2
PRC,0112173,post,False,0.2875
PRC,0112173,post,True,0.3
PRC,0112173,pre,False,0.2625
PRC,0112173,pre,True,0.3
PRC,0113171,post,False,0.2
PRC,0113171,post,True,0.175
PRC,0113171,pre,False,0.2625
PRC,0113171,pre,True,0.225
PRC,0115174,post,False,0.2875
PRC,0115174,post,True,0.1875
PRC,0115174,pre,False,0.2375
PRC,0115174,pre,True,0.35
PRC,0117171,post,False,0.3125
PRC,0117171,post,True,0.3125
PRC,0117171,pre,False,0.2625
PRC,0117171,pre,True,0.125
PRC,0118171,post,False,0.2875
PRC,0118171,post,True,0.2125
PRC,0118171,pre,False,0.225
PRC,0118171,pre,True,0.2
PRC,0118172,post,False,0.3125
PRC,0118172,post,True,0.225
PRC,0118172,pre,False,0.2875
PRC,0118172,pre,True,0.1875
PRC,0119171,post,False,0.2125
PRC,0119171,post,True,0.1875
PRC,0119171,pre,False,0.25
PRC,0119171,pre,True,0.25
PRC,0119172,post,False,0.2625
PRC,0119172,post,True,0.15
PRC,0119172,pre,False,0.25
PRC,0119172,pre,True,0.1875
PRC,0119173,post,False,0.225
PRC,0119173,post,True,0.3125
PRC,0119173,pre,False,0.3125
PRC,0119173,pre,True,0.225
PRC,0119174,post,False,0.35
