condition,roi,prepost_diff,sub
difference,LOC,-0.03241305034918068,0119174
difference,LOC,-0.037045290008080545,0120171
difference,LOC,-0.0270070124778089,0120172
difference,LOC,0.019357636701352487,0120173
difference,LOC,-0.0005169111566036833,0123171
difference,LOC,0.08232572543737227,0123173
difference,LOC,-0.026681762030853318,0124171
difference,LOC,0.05200767894999875,0125171
difference,LOC,-0.0014322368479074976,0125172
difference,LOC,-0.09544796819810009,1121161
difference,LOC,0.0349500723823436,1130161
difference,LOC,-0.03854355826832401,1202161
difference,LOC,0.045345698454418604,1203161
difference,LOC,0.013273651990834412,1206161
difference,LOC,0.022840157676574213,1206162
difference,LOC,0.0001628116671592017,1206163
difference,LOC,0.01938358391204964,1207162
trained,IT,-0.0069378420220931325,0110171
trained,IT,-0.18301568773601595,0110172
trained,IT,0.13356120126842475,0111171
trained,IT,-0.02118098063999785,0112171
trained,IT,-0.026832259123233726,0112172
trained,IT,-0.05122383445568168,0112173
trained,IT,0.027405781950000097,0113171
trained,IT,-0.06332488854928708,0115174
trained,IT,0.04976488306582594,0117171
trained,IT,-0.019669779593292747,0118171
trained,IT,-0.04544952734051999,0118172
trained,IT,-0.0076089472400519,0119171
trained,IT,-0.018577219243495535,0119172
trained,IT,0.07069685529811265,0119173
trained,IT,0.037639550767058494,0119174
trained,IT,-0.03803082086781562,0120171
trained,IT,0.021750377042422553,0120172
trained,IT,-0.053723094755568135,0120173
trained,IT,0.0006737216980248206,0123171
trained,IT,-0.07347857784902834,0123173
trained,IT,-0.012526860537255269,0124171
trained,IT,0.11969356859665004,0125171
trained,IT,0.035918921412837146,0125172
trained,IT,-0.037591671320551856,1121161
trained,IT,-0.05359515658382985,1130161
trained,IT,-0.09905775622817337,1202161
trained,IT,0.05656988309316158,1203161
trained,IT,-0.05379208046286832,1206161
trained,IT,0.05459060978093655,1206162
trained,IT,0.02549646563335517,1206163
trained,IT,0.050629280455309456,1207162
control,IT,-0.045378600330643115,0110171
control,IT,-0.03831358894348258,0110172
control,IT,0.02357367727810189,0111171
control,IT,0.028678389348399058,0112171
control,IT,0.07264830040748838,0112172
control,IT,-0.045353540549778804,0112173
control,IT,-0.006129090791880731,0113171
control,IT,-0.029277647769631487,0115174
control,IT,0.008426211922428983,0117171
control,IT,-0.06436654332491842,0118171
control,IT,-0.10241173474665877,0118172
control,IT,0.03047592963829604,0119171
control,IT,-0.12698210770825036,0119172
control,IT,0.06068706066879059,0119173
control,IT,0.055012576387753365,0119174
control,IT,0.08203440500284798,0120171
control,IT,0.058047776138452245,0120172
control,IT,-0.016643931585428318,0120173
control,IT,-0.03561320361846143,0123171
control,IT,-0.1048991959185045,0123173
control,IT,0.0440398558779278,0124171
control,IT,0.002315880861427977,0125171
control,IT,-0.02285559141237914,0125172
control,IT,0.04562875371300401,1121161
control,IT,-0.12927130956268418,1130161
control,IT,-0.06456751999952037,1202161
control,IT,-0.08908949363519869,1203161
control,IT,-0.003046802746253907,1206161
control,IT,-0.026051637790773574,1206162
control,IT,0.03878443303001167,1206163
control,IT,-0.06573717262439349,1207162
difference,IT,0.03844075830854998,0110171
difference,IT,-0.14470209879253337,0110172
difference,IT,0.10998752399032286,0111171
difference,IT,-0.04985936998839691,0112171
difference,IT,-0.0994805595307221,0112172
difference,IT,-0.005870293905902879,0112173
difference,IT,0.03353487274188083,0113171
difference,IT,-0.034047240779655596,0115174
difference,IT,0.041338671143396954,0117171
difference,IT,0.04469676373162568,0118171
difference,IT,0.056962207406138776,0118172
difference,IT,-0.03808487687834794,0119171
difference,IT,0.10840488846475482,0119172
difference,IT,0.010009794629322055,0119173
difference,IT,-0.01737302562069487,0119174
difference,IT,-0.1200652258706636,0120171
difference,IT,-0.03629739909602969,0120172
difference,IT,-0.03707916317013982,0120173
difference,IT,0.03628692531648625,0123171
difference,IT,0.03142061806947616,0123173
difference,IT,-0.05656671641518307,0124171
difference,IT,0.11737768773522206,0125171
difference,IT,0.058774512825216285,0125172
difference,IT,-0.08322042503355587,1121161
difference,IT,0.07567615297885433,1130161
difference,IT,-0.03449023622865299,1202161
difference,IT,0.14565937672836027,1203161
difference,IT,-0.05074527771661441,1206161
difference,IT,0.08064224757171012,1206162
difference,IT,-0.013287967396656497,1206163
difference,IT,0.11636645307970295,1207162
trained,FUS,0.004869095589521422,0110171
trained,FUS,-0.10101331621069887,0110172
trained,FUS,0.038545143505478885,0111171
trained,FUS,-0.0755190689047125,0112171
trained,FUS,-0.012058948081054677,0112172
trained,FUS,-0.0263119944264687,0112173
trained,FUS,-0.015108849111475198,0113171
trained,FUS,-0.018418800197968543,0115174
trained,FUS,-0.007543482964023185,0117171
trained,FUS,-0.05053716498366334,0118171
trained,FUS,-0.03474433926105447,0118172
trained,FUS,-0.0071457479826625425,0119171
trained,FUS,0.014997588439124465,0119172
trained,FUS,0.019592840846993476,0119173
trained,FUS,0.019644199964862663,0119174
trained,FUS,-0.022146187103946557,0120171
trained,FUS,-0.013514210979772678,0120172
trained,FUS,-0.03762077132326158,0120173
trained,FUS,0.004080181666141325,0123171
trained,FUS,0.00026513872114897197,0123173
trained,FUS,-0.02453330211021032,0124171
trained,FUS,0.03257801691372625,0125171
trained,FUS,-0.002654244682543383,0125172
trained,FUS,0.0023146557980040505,1121161
trained,FUS,-0.021274543844664873,1130161
trained,FUS,-0.14618976258387273,1202161
trained,FUS,0.03213197286037639,1203161
trained,FUS,-0.0499085653320992,1206161
trained,FUS,0.02953656163766427,1206162
trained,FUS,0.004717645917976077,1206163
trained,FUS,0.020147502229212577,1207162
control,FUS,-0.0035891324602411734,0110171
control,FUS,-0.02321715757788001,0110172
control,FUS,0.024839969566932907,0111171
control,FUS,-0.017967812301052266,0112171
control,FUS,-0.0036736832084288684,0112172
control,FUS,0.04678771686412242,0112173
control,FUS,-0.027947259447956896,0113171
control,FUS,-0.024053886956056703,0115174
control,FUS,-0.01649675611706003,0117171
control,FUS,-0.011877507176423219,0118171
control,FUS,0.002849187165699485,0118172
control,FUS,0.02092165258668366,0119171
control,FUS,-0.14647355520641803,0119172
control,FUS,0.032455660827831245,0119173
control,FUS,0.006205767914561622,0119174
control,FUS,-0.007520852450773441,0120171
control,FUS,0.04330795238213336,0120172
control,FUS,0.03151331392345136,0120173
control,FUS,0.022196639777200156,0123171
control,FUS,-0.02377678686842294,0123173
control,FUS,-0.0009136196786579398,0124171
control,FUS,-0.01969447053384643,0125171
control,FUS,0.008513264854534297,0125172
control,FUS,-0.029567306693069062,1121161
control,FUS,-0.12634597760334687,1130161
control,FUS,-0.03111076491078113,1202161
control,FUS,-0.06467651703644528,1203161
control,FUS,0.023225740590191557,1206161
control,FUS,0.010363016290807714,1206162
control,FUS,0.009247815797012782,1206163
control,FUS,-0.011442092200671161,1207162
difference,FUS,0.008458228049762595,0110171
difference,FUS,-0.07779615863281886,0110172
difference,FUS,0.013705173938545978,0111171
difference,FUS,-0.05755125660366023,0112171
difference,FUS,-0.008385264872625808,0112172
difference,FUS,-0.07309971129059112,0112173
difference,FUS,0.012838410336481698,0113171
difference,FUS,0.005635086758088159,0115174
