,subject,roi,num_voxels,run,time_point,pearson
10428,0112171_neurosketch,parahippo_FS,549.0,2.0,10.0,0.21841
10429,0112171_neurosketch,parahippo_FS,549.0,2.0,11.0,0.20553
10430,0112171_neurosketch,parahippo_FS,549.0,2.0,12.0,0.17017
10431,0112171_neurosketch,parahippo_FS,549.0,2.0,13.0,0.18766
10432,0112171_neurosketch,parahippo_FS,549.0,2.0,14.0,0.25286
10433,0112171_neurosketch,parahippo_FS,549.0,2.0,15.0,0.22859
10434,0112171_neurosketch,parahippo_FS,549.0,2.0,16.0,0.19802
10435,0112171_neurosketch,parahippo_FS,549.0,2.0,17.0,0.1801
10436,0112171_neurosketch,parahippo_FS,549.0,2.0,18.0,0.16051
10437,0112171_neurosketch,parahippo_FS,549.0,2.0,19.0,0.10805
10438,0112171_neurosketch,parahippo_FS,549.0,2.0,20.0,0.04272
10439,0112171_neurosketch,parahippo_FS,549.0,2.0,21.0,0.03148
10440,0112171_neurosketch,parahippo_FS,549.0,2.0,22.0,-0.02059
10441,0112171_neurosketch,parahippo_FS,549.0,2.0,23.0,0.05804
10442,0112171_neurosketch,parahippo_FS,549.0,3.0,1.0,0.08285
10443,0112171_neurosketch,parahippo_FS,549.0,3.0,2.0,0.01358
10444,0112171_neurosketch,parahippo_FS,549.0,3.0,3.0,0.09815
10445,0112171_neurosketch,parahippo_FS,549.0,3.0,4.0,0.17072
10446,0112171_neurosketch,parahippo_FS,549.0,3.0,5.0,0.10668
10447,0112171_neurosketch,parahippo_FS,549.0,3.0,6.0,0.11888
10448,0112171_neurosketch,parahippo_FS,549.0,3.0,7.0,0.13833
10449,0112171_neurosketch,parahippo_FS,549.0,3.0,8.0,0.13255
10450,0112171_neurosketch,parahippo_FS,549.0,3.0,9.0,0.14664
10451,0112171_neurosketch,parahippo_FS,549.0,3.0,10.0,0.14059
10452,0112171_neurosketch,parahippo_FS,549.0,3.0,11.0,0.18048
10453,0112171_neurosketch,parahippo_FS,549.0,3.0,12.0,0.08174
10454,0112171_neurosketch,parahippo_FS,549.0,3.0,13.0,0.19605
10455,0112171_neurosketch,parahippo_FS,549.0,3.0,14.0,0.14732
10456,0112171_neurosketch,parahippo_FS,549.0,3.0,15.0,0.08101
10457,0112171_neurosketch,parahippo_FS,549.0,3.0,16.0,0.23064
10458,0112171_neurosketch,parahippo_FS,549.0,3.0,17.0,0.11856
10459,0112171_neurosketch,parahippo_FS,549.0,3.0,18.0,0.22341
10460,0112171_neurosketch,parahippo_FS,549.0,3.0,19.0,0.24047
10461,0112171_neurosketch,parahippo_FS,549.0,3.0,20.0,0.18515
10462,0112171_neurosketch,parahippo_FS,549.0,3.0,21.0,0.11408
10463,0112171_neurosketch,parahippo_FS,549.0,3.0,22.0,0.10326
10464,0112171_neurosketch,parahippo_FS,549.0,3.0,23.0,0.09017
10465,0112171_neurosketch,parahippo_FS,549.0,4.0,1.0,0.10649
10466,0112171_neurosketch,parahippo_FS,549.0,4.0,2.0,0.17738
10467,0112171_neurosketch,parahippo_FS,549.0,4.0,3.0,0.13045
10468,0112171_neurosketch,parahippo_FS,549.0,4.0,4.0,0.04006
10469,0112171_neurosketch,parahippo_FS,549.0,4.0,5.0,0.12792
10470,0112171_neurosketch,parahippo_FS,549.0,4.0,6.0,0.14364
10471,0112171_neurosketch,parahippo_FS,549.0,4.0,7.0,0.19159
10472,0112171_neurosketch,parahippo_FS,549.0,4.0,8.0,0.17786
10473,0112171_neurosketch,parahippo_FS,549.0,4.0,9.0,0.11591
10474,0112171_neurosketch,parahippo_FS,549.0,4.0,10.0,-0.0055
10475,0112171_neurosketch,parahippo_FS,549.0,4.0,11.0,0.09855
10476,0112171_neurosketch,parahippo_FS,549.0,4.0,12.0,0.11767
10477,0112171_neurosketch,parahippo_FS,549.0,4.0,13.0,0.10455
10478,0112171_neurosketch,parahippo_FS,549.0,4.0,14.0,0.12149
10479,0112171_neurosketch,parahippo_FS,549.0,4.0,15.0,0.10268
10480,0112171_neurosketch,parahippo_FS,549.0,4.0,16.0,0.08763
10481,0112171_neurosketch,parahippo_FS,549.0,4.0,17.0,0.1007
10482,0112171_neurosketch,parahippo_FS,549.0,4.0,18.0,0.07492
10483,0112171_neurosketch,parahippo_FS,549.0,4.0,19.0,0.10607
10484,0112171_neurosketch,parahippo_FS,549.0,4.0,20.0,0.08981
10485,0112171_neurosketch,parahippo_FS,549.0,4.0,21.0,-0.01384
10486,0112171_neurosketch,parahippo_FS,549.0,4.0,22.0,0.11132
10487,0112171_neurosketch,parahippo_FS,549.0,4.0,23.0,-0.03208
10488,0112171_neurosketch,V1,4835.0,1.0,1.0,0.55423
10489,0112171_neurosketch,V1,4835.0,1.0,2.0,0.46338
10490,0112171_neurosketch,V1,4835.0,1.0,3.0,0.47145
10491,0112171_neurosketch,V1,4835.0,1.0,4.0,0.57739
10492,0112171_neurosketch,V1,4835.0,1.0,5.0,0.59097
10493,0112171_neurosketch,V1,4835.0,1.0,6.0,0.55241
10494,0112171_neurosketch,V1,4835.0,1.0,7.0,0.51532
10495,0112171_neurosketch,V1,4835.0,1.0,8.0,0.51436
10496,0112171_neurosketch,V1,4835.0,1.0,9.0,0.58344
10497,0112171_neurosketch,V1,4835.0,1.0,10.0,0.65154
10498,0112171_neurosketch,V1,4835.0,1.0,11.0,0.69961
10499,0112171_neurosketch,V1,4835.0,1.0,12.0,0.67968
10500,0112171_neurosketch,V1,4835.0,1.0,13.0,0.60669
10501,0112171_neurosketch,V1,4835.0,1.0,14.0,0.49848
10502,0112171_neurosketch,V1,4835.0,1.0,15.0,0.51899
10503,0112171_neurosketch,V1,4835.0,1.0,16.0,0.42867
10504,0112171_neurosketch,V1,4835.0,1.0,17.0,0.38949
10505,0112171_neurosketch,V1,4835.0,1.0,18.0,0.34854
10506,0112171_neurosketch,V1,4835.0,1.0,19.0,0.28989
10507,0112171_neurosketch,V1,4835.0,1.0,20.0,0.25351
10508,0112171_neurosketch,V1,4835.0,1.0,21.0,0.20775
10509,0112171_neurosketch,V1,4835.0,1.0,22.0,0.0701
10510,0112171_neurosketch,V1,4835.0,1.0,23.0,0.18092
10511,0112171_neurosketch,V1,4835.0,2.0,1.0,0.14677
10512,0112171_neurosketch,V1,4835.0,2.0,2.0,0.26062
10513,0112171_neurosketch,V1,4835.0,2.0,3.0,0.34595
10514,0112171_neurosketch,V1,4835.0,2.0,4.0,0.28886
10515,0112171_neurosketch,V1,4835.0,2.0,5.0,0.34155
10516,0112171_neurosketch,V1,4835.0,2.0,6.0,0.33208
10517,0112171_neurosketch,V1,4835.0,2.0,7.0,0.48491
10518,0112171_neurosketch,V1,4835.0,2.0,8.0,0.49099
10519,0112171_neurosketch,V1,4835.0,2.0,9.0,0.57225
10520,0112171_neurosketch,V1,4835.0,2.0,10.0,0.57739
10521,0112171_neurosketch,V1,4835.0,2.0,11.0,0.56935
10522,0112171_neurosketch,V1,4835.0,2.0,12.0,0.60008
10523,0112171_neurosketch,V1,4835.0,2.0,13.0,0.51072
10524,0112171_neurosketch,V1,4835.0,2.0,14.0,0.54016
10525,0112171_neurosketch,V1,4835.0,2.0,15.0,0.59142
10526,0112171_neurosketch,V1,4835.0,2.0,16.0,0.4601
10527,0112171_neurosketch,V1,4835.0,2.0,17.0,0.46601
10528,0112171_neurosketch,V1,4835.0,2.0,18.0,0.29877
10529,0112171_neurosketch,V1,4835.0,2.0,19.0,0.34824
10530,0112171_neurosketch,V1,4835.0,2.0,20.0,0.35623
10531,0112171_neurosketch,V1,4835.0,2.0,21.0,0.34834
10532,0112171_neurosketch,V1,4835.0,2.0,22.0,0.17263
10533,0112171_neurosketch,V1,4835.0,2.0,23.0,0.08789
10534,0112171_neurosketch,V1,4835.0,3.0,1.0,0.42067
10535,0112171_neurosketch,V1,4835.0,3.0,2.0,0.47744
10536,0112171_neurosketch,V1,4835.0,3.0,3.0,0.38765
10537,0112171_neurosketch,V1,4835.0,3.0,4.0,0.50143
10538,0112171_neurosketch,V1,4835.0,3.0,5.0,0.6116
10539,0112171_neurosketch,V1,4835.0,3.0,6.0,0.59501
10540,0112171_neurosketch,V1,4835.0,3.0,7.0,0.68212
10541,0112171_neurosketch,V1,4835.0,3.0,8.0,0.59936
10542,0112171_neurosketch,V1,4835.0,3.0,9.0,0.55137
10543,0112171_neurosketch,V1,4835.0,3.0,10.0,0.48064
10544,0112171_neurosketch,V1,4835.0,3.0,11.0,0.6097
10545,0112171_neurosketch,V1,4835.0,3.0,12.0,0.56366
10546,0112171_neurosketch,V1,4835.0,3.0,13.0,0.53158
10547,0112171_neurosketch,V1,4835.0,3.0,14.0,0.44757
10548,0112171_neurosketch,V1,4835.0,3.0,15.0,0.28819
10549,0112171_neurosketch,V1,4835.0,3.0,16.0,0.15051
10550,0112171_neurosketch,V1,4835.0,3.0,17.0,0.22986
10551,0112171_neurosketch,V1,4835.0,3.0,18.0,0.37637
10552,0112171_neurosketch,V1,4835.0,3.0,19.0,0.36554
10553,0112171_neurosketch,V1,4835.0,3.0,20.0,0.1731
10554,0112171_neurosketch,V1,4835.0,3.0,21.0,0.01727
10555,0112171_neurosketch,V1,4835.0,3.0,22.0,0.22971
10556,0112171_neurosketch,V1,4835.0,3.0,23.0,0.13063
10557,0112171_neurosketch,V1,4835.0,4.0,1.0,0.39335
10558,0112171_neurosketch,V1,4835.0,4.0,2.0,0.40616
10559,0112171_neurosketch,V1,4835.0,4.0,3.0,0.55751
10560,0112171_neurosketch,V1,4835.0,4.0,4.0,0.43072
10561,0112171_neurosketch,V1,4835.0,4.0,5.0,0.41295
10562,0112171_neurosketch,V1,4835.0,4.0,6.0,0.32871
10563,0112171_neurosketch,V1,4835.0,4.0,7.0,0.40194
10564,0112171_neurosketch,V1,4835.0,4.0,8.0,0.35154
10565,0112171_neurosketch,V1,4835.0,4.0,9.0,0.46837
10566,0112171_neurosketch,V1,4835.0,4.0,10.0,0.50273
10567,0112171_neurosketch,V1,4835.0,4.0,11.0,0.5214
10568,0112171_neurosketch,V1,4835.0,4.0,12.0,0.34031
10569,0112171_neurosketch,V1,4835.0,4.0,13.0,0.30928
10570,0112171_neurosketch,V1,4835.0,4.0,14.0,0.15687
10571,0112171_neurosketch,V1,4835.0,4.0,15.0,0.28891
10572,0112171_neurosketch,V1,4835.0,4.0,16.0,0.31299
10573,0112171_neurosketch,V1,4835.0,4.0,17.0,0.40931
10574,0112171_neurosketch,V1,4835.0,4.0,18.0,0.43439
10575,0112171_neurosketch,V1,4835.0,4.0,19.0,0.43756
10576,0112171_neurosketch,V1,4835.0,4.0,20.0,0.34789
10577,0112171_neurosketch,V1,4835.0,4.0,21.0,0.22971
10578,0112171_neurosketch,V1,4835.0,4.0,22.0,0.21053
10579,0112171_neurosketch,V1,4835.0,4.0,23.0,0.16034
10580,0112171_neurosketch,V2,9536.0,1.0,1.0,0.57368
10581,0112171_neurosketch,V2,9536.0,1.0,2.0,0.50438
10582,0112171_neurosketch,V2,9536.0,1.0,3.0,0.52122
10583,0112171_neurosketch,V2,9536.0,1.0,4.0,0.53142
10584,0112171_neurosketch,V2,9536.0,1.0,5.0,0.54937
10585,0112171_neurosketch,V2,9536.0,1.0,6.0,0.53612
10586,0112171_neurosketch,V2,9536.0,1.0,7.0,0.52242
10587,0112171_neurosketch,V2,9536.0,1.0,8.0,0.51497
10588,0112171_neurosketch,V2,9536.0,1.0,9.0,0.58624
10589,0112171_neurosketch,V2,9536.0,1.0,10.0,0.64252
10590,0112171_neurosketch,V2,9536.0,1.0,11.0,0.69691
10591,0112171_neurosketch,V2,9536.0,1.0,12.0,0.67291
10592,0112171_neurosketch,V2,9536.0,1.0,13.0,0.61166
10593,0112171_neurosketch,V2,9536.0,1.0,14.0,0.53277
10594,0112171_neurosketch,V2,9536.0,1.0,15.0,0.52829
10595,0112171_neurosketch,V2,9536.0,1.0,16.0,0.45132
10596,0112171_neurosketch,V2,9536.0,1.0,17.0,0.44112
10597,0112171_neurosketch,V2,9536.0,1.0,18.0,0.38826
10598,0112171_neurosketch,V2,9536.0,1.0,19.0,0.35318
10599,0112171_neurosketch,V2,9536.0,1.0,20.0,0.23566
10600,0112171_neurosketch,V2,9536.0,1.0,21.0,0.24978
10601,0112171_neurosketch,V2,9536.0,1.0,22.0,0.1403
10602,0112171_neurosketch,V2,9536.0,1.0,23.0,0.12868
10603,0112171_neurosketch,V2,9536.0,2.0,1.0,0.29121
10604,0112171_neurosketch,V2,9536.0,2.0,2.0,0.36197
10605,0112171_neurosketch,V2,9536.0,2.0,3.0,0.40355
10606,0112171_neurosketch,V2,9536.0,2.0,4.0,0.3083
10607,0112171_neurosketch,V2,9536.0,2.0,5.0,0.33675
10608,0112171_neurosketch,V2,9536.0,2.0,6.0,0.42233
10609,0112171_neurosketch,V2,9536.0,2.0,7.0,0.50522
10610,0112171_neurosketch,V2,9536.0,2.0,8.0,0.53714
10611,0112171_neurosketch,V2,9536.0,2.0,9.0,0.57129
10612,0112171_neurosketch,V2,9536.0,2.0,10.0,0.6137
10613,0112171_neurosketch,V2,9536.0,2.0,11.0,0.63672
10614,0112171_neurosketch,V2,9536.0,2.0,12.0,0.63298
10615,0112171_neurosketch,V2,9536.0,2.0,13.0,0.57447
10616,0112171_neurosketch,V2,9536.0,2.0,14.0,0.6002
10617,0112171_neurosketch,V2,9536.0,2.0,15.0,0.60807
10618,0112171_neurosketch,V2,9536.0,2.0,16.0,0.53476
10619,0112171_neurosketch,V2,9536.0,2.0,17.0,0.53606
10620,0112171_neurosketch,V2,9536.0,2.0,18.0,0.39432
10621,0112171_neurosketch,V2,9536.0,2.0,19.0,0.48296
10622,0112171_neurosketch,V2,9536.0,2.0,20.0,0.38564
10623,0112171_neurosketch,V2,9536.0,2.0,21.0,0.49102
10624,0112171_neurosketch,V2,9536.0,2.0,22.0,0.3006
10625,0112171_neurosketch,V2,9536.0,2.0,23.0,0.24196
10626,0112171_neurosketch,V2,9536.0,3.0,1.0,0.5396
10627,0112171_neurosketch,V2,9536.0,3.0,2.0,0.43115
10628,0112171_neurosketch,V2,9536.0,3.0,3.0,0.40993
10629,0112171_neurosketch,V2,9536.0,3.0,4.0,0.38677
10630,0112171_neurosketch,V2,9536.0,3.0,5.0,0.57651
10631,0112171_neurosketch,V2,9536.0,3.0,6.0,0.62818
10632,0112171_neurosketch,V2,9536.0,3.0,7.0,0.66748
10633,0112171_neurosketch,V2,9536.0,3.0,8.0,0.61249
10634,0112171_neurosketch,V2,9536.0,3.0,9.0,0.63461
10635,0112171_neurosketch,V2,9536.0,3.0,10.0,0.56728
10636,0112171_neurosketch,V2,9536.0,3.0,11.0,0.63218
